nama,alamat,lat,long,image_filename
Kang Eno Pecel Lele,"Kang Eno Pecel Lele, Cut Nyak Dhien, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.414837,105.246999,img_106_Kang-Eno-Pecel-Lele.jpg
Bakso Son Haji 1,"Bakso Son Haji 1, Jalan Robert Walter Monginsidi, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.423361,105.25144,img_107_Bakso-Son-Haji-1.jpg
Warung Bakso,"Warung Bakso, Jalan Sam Ratulangi, Sawah Brebes, Bandar Lampung, Lampung, Sumatra, 35112, Indonesia",-5.399644,105.253613,img_108_Warung-Bakso.jpg
Nasi Uduk Sore,"Nasi Uduk Sore, Jalan Sam Ratulangi, Sawah Brebes, Bandar Lampung, Lampung, Sumatra, 35112, Indonesia",-5.398614,105.251817,img_109_Nasi-Uduk-Sore.jpg
Mbok Jum Bumi Waras,"Mbok Jum Bumi Waras, Jalan Raden Saleh, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.424736,105.250782,img_110_Mbok-Jum-Bumi-Waras.jpg
Warung Mas Agus,"Warung Mas Agus, Cut Nyak Dhien, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.413945,105.246435,img_111_Warung-Mas-Agus.jpg
Pindang Riu,"Pindang Riu, Jalan Raden Saleh, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.425828,105.247173,img_112_Pindang-Riu.png
Pempek Wong Kito,"Pempek Wong Kito, Jalan Sultan Badaruddin, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35151, Indonesia",-5.4051,105.239202,img_113_Pempek-Wong-Kito.jpg
Soto Lamongan Cak Noto,"Soto Lamongan Cak Noto, Gang Rama, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.396248,105.249466,img_114_Soto-Lamongan-Cak-Noto.jpg
Kepiting Nyeblak,"Kepiting Nyeblak, Jalan Pangeran Emir Muhammad Noer, Palapa, Tanjung Karang Barat, Lampung, Sumatra, 35119, Indonesia",-5.420061,105.247114,img_115_Kepiting-Nyeblak.jpg
Bakso Marem,"Bakso Marem, Cut Nyak Dhien, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.413515,105.24696,img_116_Bakso-Marem.jpg
Pempek Betty,"Pempek Betty, Jalan Ikan Sebelah, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451287,105.259043,img_117_Pempek-Betty.jpg
Bakul Panganan,"Bakul Panganan, Jalan Panglima Polim, Segala Mider, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.395062,105.249069,img_118_Bakul-Panganan.jpg
Bsreng Bandung,"Bsreng Bandung, Jalan Panglima Polim, Segala Mider, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.396333,105.249335,img_119_Bsreng-Bandung.jpg
Sate Obong Tomyan,"Sate Obong Tomyan, Jalan Kepodang, Kelapa Tiga, Bandar Lampung, Lampung, Sumatra, 35151, Indonesia",-5.404726,105.238794,img_120_Sate-Obong-Tomyan.jpeg
Geprek Paksu,"Geprek Paksu, Gang Ar-Rahmah, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.408255,105.243,img_121_Geprek-Paksu.jpg
Angkringan Sego,"Angkringan Sego, Jalan Sam Ratulangi, Sawah Brebes, Bandar Lampung, Lampung, Sumatra, 35112, Indonesia",-5.398099,105.25129,img_122_Angkringan-Sego.jpg
Bubur Ayam Pak Mulyadi,"Bubur Ayam Pak Mulyadi, Jalan Panglima Polim, Segala Mider, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.394174,105.249019,img_123_Bubur-Ayam-Pak-Mulyadi.jpeg
Mie Tektek Mang Lien,"Mie Tektek Mang Lien, Jalan Panglima Polim, Segala Mider, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.392433,105.249082,img_124_Mie-Tektek-Mang-Lien.jpg
RM Bu Siti,"RM Bu Siti, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.426755,105.245726,img_125_RM-Bu-Siti.jpg
Mie Ayam Es Dugan,"Mie Ayam Es Dugan, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.427363,105.245517,img_126_Mie-Ayam-Es-Dugan.jpg
Swinger.Id,"Swinger.Id, Jalan Panglima Polim, Segala Mider, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.392269,105.24958,img_127_Swinger-Id.png
Pempek Cik Da,"Pempek Cik Da, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.433345,105.249894,img_128_Pempek-Cik-Da.jpg
